type,operation,price,date

DOGE/USDT,BUY,0.262653,"04/24/2021, 15:21:08"
DOGE/USDT,SELL,0.2738255,"04/24/2021, 16:19:11"
DOGE/USDT,BUY,0.269866,"04/24/2021, 16:45:20"
DOGE/USDT,SELL,0.2675605,"04/24/2021, 17:22:17"
DOGE/USDT,BUY,0.266938,"04/24/2021, 17:41:11"
DOGE/USDT,SELL,0.269866,"04/24/2021, 18:24:49"
DOGE/USDT,BUY,0.271478,"04/24/2021, 19:05:00"
DOGE/USDT,SELL,0.2740925,"04/24/2021, 19:40:23"
DOGE/USDT,BUY,0.26866,"04/24/2021, 20:33:19"
DOGE/USDT,SELL,0.273809,"04/24/2021, 21:00:49"
DOGE/USDT,BUY,0.272009,"04/24/2021, 21:15:50"
DOGE/USDT,SELL,0.2748795,"04/24/2021, 21:33:57"
DOGE/USDT,BUY,0.273854,"04/24/2021, 21:43:36"
